"value","se","ci","lower","upper","variable","model"
0.93375222211447,0.00338567707636367,0.95,0.926206325038152,0.93918239994308,"r2 marginal","rsfBrms_OPHA_H2_binary_OPHA_H2_binary"
0.0155575171874823,NA,0.95,0.0119653135807041,0.0194989650949909,"tau2_sd_index_intercept","rsfBrms_OPHA_H2_binary_OPHA_H2_binary"
0.97717706382226,0.00269493437510082,0.95,0.971153802880636,0.981995962116712,"r2 conditional","rsfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.945798133626375,0.0021514738316553,0.95,0.940487237855631,0.949251178985315,"r2 marginal","rsfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.0135143077200999,NA,0.95,0.0107541977741137,0.0163570219003906,"tau2_sd_index_intercept","rsfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.993488462163745,0.000875428135006541,0.95,0.991812629789586,0.995224667620037,"r2 conditional","rsfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.735593423582364,0.0173238801202135,0.95,0.69169205262348,0.769191925780486,"r2 marginal","rsfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.0543145257735468,NA,0.95,0.048551015263823,0.061322903617995,"tau2_sd_index_intercept","rsfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.511739158126804,0.069585648611697,0.95,0.378805493089292,0.633968020673556,"r2 conditional","rsfBrms_PYBI_H1_binary_PYBI_H1_binary"
0.398664232060846,0.0437671947518961,0.95,0.30721599385143,0.486358095895777,"r2 marginal","rsfBrms_PYBI_H1_binary_PYBI_H1_binary"
0.0304188334266609,NA,0.95,0.00739531539962707,0.0485784643074563,"tau2_sd_index_intercept","rsfBrms_PYBI_H1_binary_PYBI_H1_binary"
0.987018320108975,0.002469646287245,0.95,0.981976564810368,0.99116520073994,"r2 conditional","rsfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.936459156899667,0.00285680161770663,0.95,0.930518871921414,0.941486948661901,"r2 marginal","rsfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.142612002303799,NA,0.95,0.119601051832368,0.167627261590482,"tau2_sd_index_intercept","rsfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.762005752358224,0.0203055435534354,0.95,0.714458874088763,0.797124919410262,"r2 conditional","rsfBrms_BUCA_H1_binary_BUCA_H1_binary"
0.758356288225408,0.019316501904774,0.95,0.712543195678168,0.793008656262501,"r2 marginal","rsfBrms_BUCA_H1_binary_BUCA_H1_binary"
